"spp.code","site","band.pre","band.suf","colors","age","sex","date","wing","tarsus","mass","fat","pec","notes","year","year.num","beak","date2","site.age.init","site.age","band","status.focals","spp","status2","hab1","diet"
"AMRE","Morelia","2240","21997","X-","HY","F","15-Jan-08",NA,NA,NA,NA,NA,NA,"2007-2008",2007,NA,2008-01-15,10,14,"2240-21997","mig","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21550","XW-WW","SY","M","6-Jan-05",64,17.5,7.6,"0",0,NA,"2004-2005",2004,NA,2005-01-06,2,3,"2240-21550","mig","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21542","XR-WR","HY","F","4-Jan-04",57,17.5,6.8,"0",0,NA,"2003-2004",2003,NA,2004-01-04,2,2,"2240-21542","mig","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21948","XY-RB","AHY","F","9-Nov-07",NA,NA,NA,NA,NA,NA,"2007-2008",2007,NA,2007-11-09,2,6,"2240-21948","mig","American Redstart","M","EF","I"
"AMRE","El Corral","2240","21869","XY-WR","AHY","F","19-Feb-05",60,17,7.3,"0",1,NA,"2004-2005",2004,NA,2005-02-19,20,21,"2240-21869","mig","American Redstart","M","EF","I"
"AMRE","La Caoba","2240","21967","RX-YR","AHY","F","22-Feb-07",NA,NA,NA,NA,NA,"x","2006-2007",2006,NA,2007-02-22,5,8,"2240-21967","mig","American Redstart","M","EF","I"
"AMRE","La Caoba","2240","21526","BX-RR","AHY","F","12-Nov-03",57.5,16.7,5.8,"0",0,NA,"2003-2004",2003,NA,2003-11-12,5,5,"2240-21526","mig","American Redstart","M","EF","I"
"AMRE","El Corral","2240","21865","RX-BR","HY","M","16-Feb-05",60,16.5,7,"0",1,NA,"2004-2005",2004,NA,2005-02-16,20,21,"2240-21865","mig","American Redstart","M","EF","I"
"AMRE","Morelia","2240","21540","XY-BY","AHY","F","13-Feb-05",61.5,17.9,7.3,"0",0,NA,"2004-2005",2004,NA,2005-02-13,10,11,"2240-21540","mig","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21572","WW-XY","HY","F","7-Feb-05",NA,NA,NA,NA,NA,NA,"2004-2005",2004,NA,2005-02-07,2,3,"2240-21572","mig","American Redstart","M","EF","I"
"AMRE","El Corral","2240","21866","RW-XR","HY",NA,"17-Feb-05",57.5,16.3,6.6,"1",1,NA,"2004-2005",2004,NA,2005-02-17,20,21,"2240-21866","mig","American Redstart","M","EF","I"
"AMRE","La Caoba","2240","21965","XW-RW","HY","M","18-Feb-07",NA,NA,NA,NA,NA,"x","2006-2007",2006,NA,2007-02-18,5,8,"2240-21965","mig","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21505","X-R","HY","M","9-Nov-03",61,18.6,7.7,"1",2,NA,"2003-2004",2003,NA,2003-11-09,2,2,"2240-21505","mig","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21515","YW-BX","AHY","F","19-Feb-04",59,17,6.8,"0",0,NA,"2003-2004",2003,NA,2004-02-19,2,2,"2240-21515","mig","American Redstart","M","EF","I"
"AMRE","El Corral","2240","21956","BR-XR","AHY","F","22-Jan-07",NA,NA,NA,NA,NA,"x","2006-2007",2006,NA,2007-01-22,20,23,"2240-21956","mig","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21570","YY-RX","HY","F","9-Nov-04",58.5,17.3,6.9,"0",0,NA,"2004-2005",2004,NA,2004-11-09,2,3,"2240-21570","mig","American Redstart","M","EF","I"
"AMRE","La Caoba","2240","21856","XY-WY","AHY","M","11-Feb-05",62.5,17.3,7,"0",0,NA,"2004-2005",2004,NA,2005-02-11,5,6,"2240-21856","mig","American Redstart","M","EF","I"
